target,test_family,n_obs,r2_base,r2_full,delta_r2,permutation_p,fdr_q,top_term,top_beta,effect_sign,low_confidence,base_terms,test_terms,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
lfp_ila_delta_whole_slice_norm,rule_block,526,0.4320717341386058,0.4594457528224135,0.027374018683807733,0.03596403596403597,0.44400044400044403,rule_reversal_frequency,-0.191097903900384,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,global_lfp,global,global,ILA,ila,delta,delta,whole_slice_norm
state_wake_acad_theta_whole_slice_norm,rule_block,526,0.07593432555409685,0.13405137429543734,0.058117048741340493,0.03796203796203796,0.44400044400044403,rule_reversal_frequency,-0.1819147802061321,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Wake,wake,ACAd,acad,theta,theta,whole_slice_norm
lfp_ila_theta_whole_slice_norm,rule_block,526,0.38436097611741105,0.416616282301128,0.03225530618371697,0.03896103896103896,0.44400044400044403,rule_reversal_frequency,-0.13565943015882467,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,global_lfp,global,global,ILA,ila,theta,theta,whole_slice_norm
state_working_ila_delta_whole_slice_norm,learning_stage_block,204,0.11122710182160755,0.17831337226088173,0.06708627043927418,0.04395604395604396,0.44400044400044403,perf_learned,-0.24288102342204482,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,Working,working,ILA,ila,delta,delta,whole_slice_norm
state_nrem_mos_theta_whole_slice_norm,learning_stage_block,468,0.53029792497825,0.5875994773513811,0.05730155237313106,0.04795204795204795,0.44400044400044403,perf_intermediate,0.09842645501005032,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,NREM,nrem,MOs,mos,theta,theta,whole_slice_norm
state_working_mos_delta_whole_slice_norm,rule_block,204,0.12945836812835432,0.1677373055113387,0.03827893738298438,0.04895104895104895,0.44400044400044403,rule_reversal_frequency,-0.19600226164547718,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,Working,working,MOs,mos,delta,delta,whole_slice_norm
state_wake_acad_gamma_whole_slice_norm,bias_block,526,0.21944968152416044,0.2711447841317264,0.051695102607565935,0.04995004995004995,0.44400044400044403,bias_left,-0.11106939942302768,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""bias_left"", ""bias_right""]",lfp_behavior_modulation,state_lfp,Wake,wake,ACAd,acad,gamma,gamma,whole_slice_norm
state_nrem_ila_delta_whole_slice_norm,rule_block,468,0.25152725639683615,0.27559027905434685,0.024063022657510702,0.04995004995004995,0.44400044400044403,rule_reversal_frequency,-0.18537270167756204,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,NREM,nrem,ILA,ila,delta,delta,whole_slice_norm
state_rem_ila_gamma_whole_slice_norm,bias_block,350,0.059679333649081845,0.1288150915573455,0.06913575790826365,0.053946053946053944,0.46239474810903386,bias_left,-0.5911990272604405,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""bias_left"", ""bias_right""]",lfp_behavior_modulation,state_lfp,REM,rem,ILA,ila,gamma,gamma,whole_slice_norm
state_nrem_ila_theta_whole_slice_norm,bias_block,468,0.45693821490782627,0.4764676948291289,0.019529479921302606,0.061938061938061936,0.47499670141179573,bias_left,0.0603200633210845,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""bias_left"", ""bias_right""]",lfp_behavior_modulation,state_lfp,NREM,nrem,ILA,ila,theta,theta,whole_slice_norm
state_nrem_mos_delta_whole_slice_norm,rule_block,468,0.5587824297907262,0.5822884993660269,0.02350606957530066,0.06393606393606394,0.47499670141179573,rule_reversal_frequency,-0.12665457338581182,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""rule_frequency"", ""rule_reversal_frequency""]",lfp_behavior_modulation,state_lfp,NREM,nrem,MOs,mos,delta,delta,whole_slice_norm
state_nrem_acad_theta_whole_slice_norm,learning_stage_block,468,0.442635222741929,0.4621067815829605,0.019471558841031467,0.07692307692307693,0.47499670141179573,perf_learned,-0.03008898682371001,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem""]","[""perf_intermediate"", ""perf_learned""]",lfp_behavior_modulation,state_lfp,NREM,nrem,ACAd,acad,theta,theta,whole_slice_norm
