target,test_family,behavior_variable,behavior_label,n_obs,spearman_r,effect_size,permutation_p,fdr_q,effect_sign,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
lfp_mos_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,0.054376581308279874,0.054376581308279874,0.2131080730297045,0.3364864310995334,positive,direct_lfp_continuous_behavior_association,global_lfp,global,global,MOs,mos,theta,theta,whole_slice_norm
state_rem_pl_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,-0.062487718674563604,0.062487718674563604,0.24361608386440525,0.3791483432980466,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,PL,pl,gamma,gamma,whole_slice_norm
state_rem_acad_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,-0.06211480141227163,0.06211480141227163,0.24644642314373028,0.3791483432980466,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,ACAd,acad,theta,theta,whole_slice_norm
state_working_acad_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,204,-0.07937190063952142,0.07937190063952142,0.25912033387425687,0.3906678203205686,negative,direct_lfp_continuous_behavior_association,state_lfp,Working,working,ACAd,acad,gamma,gamma,whole_slice_norm
lfp_mos_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.04915440793108327,0.04915440793108327,0.26044521354704575,0.3906678203205686,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,MOs,mos,delta,delta,whole_slice_norm
lfp_acad_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.048668148704425804,0.048668148704425804,0.26519606311003247,0.3928830564593074,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,ACAd,acad,gamma,gamma,whole_slice_norm
state_wake_pl_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.048196404678564064,0.048196404678564064,0.26986166406844464,0.3940782311413245,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,PL,pl,theta,theta,whole_slice_norm
lfp_pl_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,-0.04756994180785679,0.04756994180785679,0.2761437737317864,0.3940782311413245,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,PL,pl,theta,theta,whole_slice_norm
state_rem_mos_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,0.05804294806184039,0.05804294806184039,0.2788471410531789,0.3940782311413245,positive,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,MOs,mos,gamma,gamma,whole_slice_norm
lfp_acad_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,-0.047274689428034235,0.047274689428034235,0.27913874705843816,0.3940782311413245,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,ACAd,acad,delta,delta,whole_slice_norm
lfp_acad_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,-0.04315534142038711,0.04315534142038711,0.323221225077833,0.4491496964796577,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,ACAd,acad,theta,theta,whole_slice_norm
lfp_pl_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,0.04294091231772269,0.04294091231772269,0.32563352994775185,0.4491496964796577,positive,direct_lfp_continuous_behavior_association,global_lfp,global,global,PL,pl,delta,delta,whole_slice_norm
state_rem_mos_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,350,0.04968646574585635,0.04968646574585635,0.35403250035878653,0.48277159139834525,positive,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,MOs,mos,theta,theta,whole_slice_norm
state_nrem_ila_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,468,0.04194029683404028,0.04194029683404028,0.3653174046331523,0.49256279276380094,positive,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,ILA,ila,gamma,gamma,whole_slice_norm
state_wake_pl_delta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,0.03915013567354289,0.03915013567354289,0.3701973919031297,0.4935965225375063,positive,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,PL,pl,delta,delta,whole_slice_norm
state_rem_pl_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,-0.047149956439275824,0.047149956439275824,0.37916893767263227,0.5000029947331415,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,PL,pl,theta,theta,whole_slice_norm
lfp_pl_theta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.03779395407192222,0.03779395407192222,0.3870170698126495,0.5048048736686733,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,PL,pl,theta,theta,whole_slice_norm
state_wake_pl_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,526,-0.03646944199931045,0.03646944199931045,0.403884850055495,0.5211417420070903,negative,direct_lfp_continuous_behavior_association,state_lfp,Wake,wake,PL,pl,theta,theta,whole_slice_norm
state_nrem_mos_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,468,0.03639846720681384,0.03639846720681384,0.4321171961666237,0.5516389738297324,positive,direct_lfp_continuous_behavior_association,state_lfp,NREM,nrem,MOs,mos,theta,theta,whole_slice_norm
state_rem_mos_gamma_whole_slice_norm,bias_score_spearman,bias_score,Bias score,350,-0.03962553876558288,0.03962553876558288,0.45992869153667726,0.579042627058404,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,MOs,mos,gamma,gamma,whole_slice_norm
lfp_mos_gamma_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,526,-0.03205154270256902,0.03205154270256902,0.4632341016467232,0.579042627058404,negative,direct_lfp_continuous_behavior_association,global_lfp,global,global,MOs,mos,gamma,gamma,whole_slice_norm
state_rem_ila_theta_whole_slice_norm,bias_score_spearman,bias_score,Bias score,350,-0.036543651961296074,0.036543651961296074,0.49558611104366124,0.6130962198478284,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,ILA,ila,theta,theta,whole_slice_norm
state_rem_pl_delta_whole_slice_norm,perf_pct_spearman,perf_pct,Performance %,350,-0.034125849050520206,0.034125849050520206,0.5245563619879627,0.6423139126383217,negative,direct_lfp_continuous_behavior_association,state_lfp,REM,rem,PL,pl,delta,delta,whole_slice_norm
